system,game,integration_tier,json_file,source_fields,triggers,unsupported_fields
genesis,ForgottenWorlds,stable,rumble\openai_retro\genesis\stable\forgottenworlds_genesis.json,2,3,0
genesis,FrankThomasBigHurtBaseball,stable,rumble\openai_retro\genesis\stable\frankthomasbighurtbaseball_genesis.json,8,0,8
genesis,Frogger,stable,rumble\openai_retro\genesis\stable\frogger_genesis.json,2,3,0
genesis,FZSenkiAxisFinalZone,stable,rumble\openai_retro\genesis\stable\fzsenkiaxisfinalzone_genesis.json,2,3,0
genesis,GadgetTwins,stable,rumble\openai_retro\genesis\stable\gadgettwins_genesis.json,2,3,0
genesis,Gaiares,stable,rumble\openai_retro\genesis\stable\gaiares_genesis.json,2,3,0
genesis,GainGround,stable,rumble\openai_retro\genesis\stable\gainground_genesis.json,2,2,0
genesis,GalaxyForceII,stable,rumble\openai_retro\genesis\stable\galaxyforceii_genesis.json,2,1,1
genesis,Gauntlet,stable,rumble\openai_retro\genesis\stable\gauntlet_genesis.json,2,3,0
genesis,GeneralChaos,stable,rumble\openai_retro\genesis\stable\generalchaos_genesis.json,4,2,2
genesis,GhoulsnGhosts,stable,rumble\openai_retro\genesis\stable\ghoulsnghosts_genesis.json,2,3,0
genesis,GlobalGladiators,stable,rumble\openai_retro\genesis\stable\globalgladiators_genesis.json,2,2,0
genesis,Gods,stable,rumble\openai_retro\genesis\stable\gods_genesis.json,5,6,0
snes,Gods,stable,rumble\openai_retro\snes\stable\gods_snes.json,3,5,0
snes,GokujouParodius,stable,rumble\openai_retro\snes\stable\gokujouparodius_snes.json,2,3,0
genesis,GoldenAxe,stable,rumble\openai_retro\genesis\stable\goldenaxe_genesis.json,2,3,0
genesis,GoldenAxeIII,stable,rumble\openai_retro\genesis\stable\goldenaxeiii_genesis.json,3,4,1
snes,GradiusIII,stable,rumble\openai_retro\snes\stable\gradiusiii_snes.json,2,3,0
genesis,Granada,stable,rumble\openai_retro\genesis\stable\granada_genesis.json,3,3,1
genesis,GreatCircusMysteryStarringMickeyAndMinnie,stable,rumble\openai_retro\genesis\stable\greatcircusmysterystarringmickeyandminnie_genesis.json,3,5,0
snes,GreatCircusMysteryStarringMickeyAndMinnie,stable,rumble\openai_retro\snes\stable\greatcircusmysterystarringmickeyandminnie_snes.json,3,5,0
genesis,GreatWaldoSearch,stable,rumble\openai_retro\genesis\stable\greatwaldosearch_genesis.json,4,1,3
genesis,GreendogTheBeachedSurferDude,stable,rumble\openai_retro\genesis\stable\greendogthebeachedsurferdude_genesis.json,3,5,0
genesis,GrindStormer,stable,rumble\openai_retro\genesis\stable\grindstormer_genesis.json,2,3,0
genesis,Growl,stable,rumble\openai_retro\genesis\stable\growl_genesis.json,3,1,2
genesis,Gunship,stable,rumble\openai_retro\genesis\stable\gunship_genesis.json,2,3,0
genesis,Gynoug,stable,rumble\openai_retro\genesis\stable\gynoug_genesis.json,2,3,0
genesis,HardDrivin,stable,rumble\openai_retro\genesis\stable\harddrivin_genesis.json,2,1,1
snes,HarleysHumongousAdventure,stable,rumble\openai_retro\snes\stable\harleyshumongousadventure_snes.json,4,6,0
genesis,Havoc,stable,rumble\openai_retro\genesis\stable\havoc_genesis.json,5,3,3
genesis,HeavyNova,stable,rumble\openai_retro\genesis\stable\heavynova_genesis.json,5,3,3
genesis,HeavyUnitMegaDriveSpecial,stable,rumble\openai_retro\genesis\stable\heavyunitmegadrivespecial_genesis.json,2,3,0
genesis,Hellfire,stable,rumble\openai_retro\genesis\stable\hellfire_genesis.json,2,3,0
genesis,HomeAlone,stable,rumble\openai_retro\genesis\stable\homealone_genesis.json,3,1,2
genesis,HomeAlone2LostInNewYork,stable,rumble\openai_retro\genesis\stable\homealone2lostinnewyork_genesis.json,3,5,0
genesis,Hook,stable,rumble\openai_retro\genesis\stable\hook_genesis.json,3,5,0
snes,Hook,stable,rumble\openai_retro\snes\stable\hook_snes.json,3,5,0
snes,HuntForRedOctober,stable,rumble\openai_retro\snes\stable\huntforredoctober_snes.json,3,3,1
genesis,Hurricanes,stable,rumble\openai_retro\genesis\stable\hurricanes_genesis.json,4,6,0
snes,Hurricanes,stable,rumble\openai_retro\snes\stable\hurricanes_snes.json,3,5,0
genesis,IMGInternationalTourTennis,stable,rumble\openai_retro\genesis\stable\imginternationaltourtennis_genesis.json,4,1,3
snes,Imperium,stable,rumble\openai_retro\snes\stable\imperium_snes.json,2,3,0
snes,Incantation,stable,rumble\openai_retro\snes\stable\incantation_snes.json,4,6,0
genesis,IncredibleCrashDummies,stable,rumble\openai_retro\genesis\stable\incrediblecrashdummies_genesis.json,4,6,0
genesis,IncredibleHulk,stable,rumble\openai_retro\genesis\stable\incrediblehulk_genesis.json,3,5,0
snes,IncredibleHulk,stable,rumble\openai_retro\snes\stable\incrediblehulk_snes.json,3,5,0
genesis,IndianaJonesAndTheLastCrusade,stable,rumble\openai_retro\genesis\stable\indianajonesandthelastcrusade_genesis.json,4,4,1
genesis,InsectorX,stable,rumble\openai_retro\genesis\stable\insectorx_genesis.json,2,3,0
snes,InspectorGadget,stable,rumble\openai_retro\snes\stable\inspectorgadget_snes.json,3,4,0
genesis,IshidoTheWayOfStones,stable,rumble\openai_retro\genesis\stable\ishidothewayofstones_genesis.json,3,1,2
snes,ItchyAndScratchyGame,stable,rumble\openai_retro\snes\stable\itchyandscratchygame_snes.json,5,7,0
genesis,IzzysQuestForTheOlympicRings,stable,rumble\openai_retro\genesis\stable\izzysquestfortheolympicrings_genesis.json,3,5,0
snes,IzzysQuestForTheOlympicRings,stable,rumble\openai_retro\snes\stable\izzysquestfortheolympicrings_snes.json,3,5,0
genesis,JamesBond007TheDuel,stable,rumble\openai_retro\genesis\stable\jamesbond007theduel_genesis.json,4,5,1
genesis,JamesPond3,stable,rumble\openai_retro\genesis\stable\jamespond3_genesis.json,3,5,0
genesis,JamesPondIICodenameRobocod,stable,rumble\openai_retro\genesis\stable\jamespondiicodenamerobocod_genesis.json,4,6,0
genesis,JamesPondUnderwaterAgent,stable,rumble\openai_retro\genesis\stable\jamespondunderwateragent_genesis.json,2,3,0
snes,JellyBoy,stable,rumble\openai_retro\snes\stable\jellyboy_snes.json,3,5,0
snes,JetsonsInvasionOfThePlanetPirates,stable,rumble\openai_retro\snes\stable\jetsonsinvasionoftheplanetpirates_snes.json,3,5,0
genesis,JewelMaster,stable,rumble\openai_retro\genesis\stable\jewelmaster_genesis.json,2,3,0
genesis,JoeAndMac,stable,rumble\openai_retro\genesis\stable\joeandmac_genesis.json,3,5,0
snes,JoeAndMac,stable,rumble\openai_retro\snes\stable\joeandmac_snes.json,3,5,0
snes,JoeAndMac2LostInTheTropics,stable,rumble\openai_retro\snes\stable\joeandmac2lostinthetropics_snes.json,3,5,0
genesis,JudgeDredd,stable,rumble\openai_retro\genesis\stable\judgedredd_genesis.json,3,5,0
snes,JudgeDredd,stable,rumble\openai_retro\snes\stable\judgedredd_snes.json,3,5,0
genesis,JuJuDensetsuTokiGoingApeSpit,stable,rumble\openai_retro\genesis\stable\jujudensetsutokigoingapespit_genesis.json,2,3,0
genesis,JungleBook,stable,rumble\openai_retro\genesis\stable\junglebook_genesis.json,4,6,0
snes,JungleBook,stable,rumble\openai_retro\snes\stable\junglebook_snes.json,4,6,0
genesis,JusticeLeagueTaskForce,stable,rumble\openai_retro\genesis\stable\justiceleaguetaskforce_genesis.json,5,3,3
genesis,KaGeKiFistsOfSteel,stable,rumble\openai_retro\genesis\stable\kagekifistsofsteel_genesis.json,2,3,0
snes,KaiteTsukutteAsoberuDezaemon,stable,rumble\openai_retro\snes\stable\kaitetsukutteasoberudezaemon_snes.json,2,3,0
genesis,KidChameleon,stable,rumble\openai_retro\genesis\stable\kidchameleon_genesis.json,2,3,0
snes,KidKlownInCrazyChase,stable,rumble\openai_retro\snes\stable\kidklownincrazychase_snes.json,3,3,1
snes,KingOfDragons,stable,rumble\openai_retro\snes\stable\kingofdragons_snes.json,4,5,1
genesis,KingOfTheMonsters2,stable,rumble\openai_retro\genesis\stable\kingofthemonsters2_genesis.json,6,3,4
snes,KingOfTheMonsters2,stable,rumble\openai_retro\snes\stable\kingofthemonsters2_snes.json,3,5,0
snes,KnightsOfTheRound,stable,rumble\openai_retro\snes\stable\knightsoftheround_snes.json,4,5,1
genesis,LastActionHero,stable,rumble\openai_retro\genesis\stable\lastactionhero_genesis.json,3,5,0
snes,LastActionHero,stable,rumble\openai_retro\snes\stable\lastactionhero_snes.json,3,5,0
genesis,LastBattle,stable,rumble\openai_retro\genesis\stable\lastbattle_genesis.json,2,3,0
genesis,LawnmowerMan,stable,rumble\openai_retro\genesis\stable\lawnmowerman_genesis.json,3,3,1
snes,Legend,stable,rumble\openai_retro\snes\stable\legend_snes.json,2,3,0
genesis,LegendOfGalahad,stable,rumble\openai_retro\genesis\stable\legendofgalahad_genesis.json,3,5,0
genesis,LethalEnforcers,stable,rumble\openai_retro\genesis\stable\lethalenforcers_genesis.json,2,1,1
genesis,LethalEnforcersIIGunFighters,stable,rumble\openai_retro\genesis\stable\lethalenforcersiigunfighters_genesis.json,2,1,1
snes,LethalWeapon,stable,rumble\openai_retro\snes\stable\lethalweapon_snes.json,4,5,0
snes,MagicalQuestStarringMickeyMouse,stable,rumble\openai_retro\snes\stable\magicalqueststarringmickeymouse_snes.json,3,5,0
genesis,MagicalTaruruutoKun,stable,rumble\openai_retro\genesis\stable\magicaltaruruutokun_genesis.json,4,6,0
snes,MagicBoy,stable,rumble\openai_retro\snes\stable\magicboy_snes.json,7,8,0
snes,MagicSword,stable,rumble\openai_retro\snes\stable\magicsword_snes.json,3,5,0
genesis,MaouRenjishi,stable,rumble\openai_retro\genesis\stable\maourenjishi_genesis.json,3,5,0
genesis,MarbleMadness,stable,rumble\openai_retro\genesis\stable\marblemadness_genesis.json,2,1,1
genesis,Marko,stable,rumble\openai_retro\genesis\stable\marko_genesis.json,9,11,0
genesis,Marsupilami,stable,rumble\openai_retro\genesis\stable\marsupilami_genesis.json,2,3,0
genesis,MarvelLand,stable,rumble\openai_retro\genesis\stable\marvelland_genesis.json,3,3,1
snes,Mask,stable,rumble\openai_retro\snes\stable\mask_snes.json,3,5,0
genesis,McDonaldsTreasureLandAdventure,stable,rumble\openai_retro\genesis\stable\mcdonaldstreasurelandadventure_genesis.json,3,5,0
genesis,MegaManTheWilyWars,stable,rumble\openai_retro\genesis\stable\megamanthewilywars_genesis.json,3,5,0
genesis,MegaSWIV,stable,rumble\openai_retro\genesis\stable\megaswiv_genesis.json,2,3,0
genesis,MegaTurrican,stable,rumble\openai_retro\genesis\stable\megaturrican_genesis.json,4,5,1
genesis,MichaelJacksonsMoonwalker,stable,rumble\openai_retro\genesis\stable\michaeljacksonsmoonwalker_genesis.json,3,5,0
genesis,MidnightResistance,stable,rumble\openai_retro\genesis\stable\midnightresistance_genesis.json,2,3,0
genesis,MightyMorphinPowerRangers,stable,rumble\openai_retro\genesis\stable\mightymorphinpowerrangers_genesis.json,3,2,2
genesis,MightyMorphinPowerRangersTheMovie,stable,rumble\openai_retro\genesis\stable\mightymorphinpowerrangersthemovie_genesis.json,3,3,1
snes,MightyMorphinPowerRangersTheMovie,stable,rumble\openai_retro\snes\stable\mightymorphinpowerrangersthemovie_snes.json,3,5,0
genesis,MonsterLair,stable,rumble\openai_retro\genesis\stable\monsterlair_genesis.json,3,5,0
genesis,MortalKombat,stable,rumble\openai_retro\genesis\stable\mortalkombat_genesis.json,2,1,1
genesis,MortalKombat3,stable,rumble\openai_retro\genesis\stable\mortalkombat3_genesis.json,5,3,3
genesis,MortalKombatII,stable,rumble\openai_retro\genesis\stable\mortalkombatii_genesis.json,5,3,3
genesis,MrNutz,stable,rumble\openai_retro\genesis\stable\mrnutz_genesis.json,2,3,0
snes,MrNutz,stable,rumble\openai_retro\snes\stable\mrnutz_snes.json,3,4,0
genesis,MsPacMan,stable,rumble\openai_retro\genesis\stable\mspacman_genesis.json,2,3,0
genesis,MUSHA,stable,rumble\openai_retro\genesis\stable\musha_genesis.json,2,3,0
genesis,NewZealandStory,stable,rumble\openai_retro\genesis\stable\newzealandstory_genesis.json,2,3,0
genesis,NormysBeachBabeORama,stable,rumble\openai_retro\genesis\stable\normysbeachbabeorama_genesis.json,3,5,0
genesis,Ottifants,stable,rumble\openai_retro\genesis\stable\ottifants_genesis.json,3,5,0
snes,OutToLunch,stable,rumble\openai_retro\snes\stable\outtolunch_snes.json,2,3,0
snes,PacInTime,stable,rumble\openai_retro\snes\stable\pacintime_snes.json,3,5,0
genesis,PacMania,stable,rumble\openai_retro\genesis\stable\pacmania_genesis.json,2,3,0
genesis,Paperboy,stable,rumble\openai_retro\genesis\stable\paperboy_genesis.json,2,3,0
genesis,Paperboy2,stable,rumble\openai_retro\genesis\stable\paperboy2_genesis.json,8,9,0
snes,Parodius,stable,rumble\openai_retro\snes\stable\parodius_snes.json,2,3,0
snes,PeaceKeepers,stable,rumble\openai_retro\snes\stable\peacekeepers_snes.json,2,3,0
snes,Phalanx,stable,rumble\openai_retro\snes\stable\phalanx_snes.json,2,3,0
genesis,Phelios,stable,rumble\openai_retro\genesis\stable\phelios_genesis.json,3,5,0
genesis,PinkGoesToHollywood,stable,rumble\openai_retro\genesis\stable\pinkgoestohollywood_genesis.json,3,5,0
snes,PiratesOfDarkWater,stable,rumble\openai_retro\snes\stable\piratesofdarkwater_snes.json,3,5,0
genesis,PitfallTheMayanAdventure,stable,rumble\openai_retro\genesis\stable\pitfallthemayanadventure_genesis.json,3,5,0
snes,PitfallTheMayanAdventure,stable,rumble\openai_retro\snes\stable\pitfallthemayanadventure_snes.json,4,6,0
genesis,PitFighter,stable,rumble\openai_retro\genesis\stable\pitfighter_genesis.json,4,6,0
snes,Plok,stable,rumble\openai_retro\snes\stable\plok_snes.json,3,5,0
snes,PopnTwinBee,stable,rumble\openai_retro\snes\stable\popntwinbee_snes.json,2,3,0
snes,PopnTwinBeeRainbowBellAdventures,stable,rumble\openai_retro\snes\stable\popntwinbeerainbowbelladventures_snes.json,2,3,0
snes,PorkyPigsHauntedHoliday,stable,rumble\openai_retro\snes\stable\porkypigshauntedholiday_snes.json,4,6,0
genesis,PowerAthlete,stable,rumble\openai_retro\genesis\stable\powerathlete_genesis.json,2,1,1
snes,PowerPiggsOfTheDarkAge,stable,rumble\openai_retro\snes\stable\powerpiggsofthedarkage_snes.json,2,3,0
genesis,Predator2,stable,rumble\openai_retro\genesis\stable\predator2_genesis.json,3,5,0
snes,PrehistorikMan,stable,rumble\openai_retro\snes\stable\prehistorikman_snes.json,4,5,1
genesis,Pulseman,stable,rumble\openai_retro\genesis\stable\pulseman_genesis.json,3,5,0
genesis,Punisher,stable,rumble\openai_retro\genesis\stable\punisher_genesis.json,4,5,1
snes,PuttySquad,stable,rumble\openai_retro\snes\stable\puttysquad_snes.json,4,6,0
genesis,QuackShot,stable,rumble\openai_retro\genesis\stable\quackshot_genesis.json,3,5,0
genesis,RadicalRex,stable,rumble\openai_retro\genesis\stable\radicalrex_genesis.json,2,3,0
snes,RadicalRex,stable,rumble\openai_retro\snes\stable\radicalrex_snes.json,2,3,0
snes,RaidenDensetsu,stable,rumble\openai_retro\snes\stable\raidendensetsu_snes.json,2,3,0
genesis,RaidenDensetsuRaidenTrad,stable,rumble\openai_retro\genesis\stable\raidendensetsuraidentrad_genesis.json,2,3,0
genesis,RamboIII,stable,rumble\openai_retro\genesis\stable\ramboiii_genesis.json,2,3,0
genesis,RangerX,stable,rumble\openai_retro\genesis\stable\rangerx_genesis.json,2,3,0
genesis,RastanSagaII,stable,rumble\openai_retro\genesis\stable\rastansagaii_genesis.json,4,5,1
snes,Realm,stable,rumble\openai_retro\snes\stable\realm_snes.json,3,5,0
genesis,RenAndStimpyShowPresentsStimpysInvention,stable,rumble\openai_retro\genesis\stable\renandstimpyshowpresentsstimpysinvention_genesis.json,3,5,0
snes,RenAndStimpyShowVeediots,stable,rumble\openai_retro\snes\stable\renandstimpyshowveediots_snes.json,3,5,0
snes,RenderingRangerR2,stable,rumble\openai_retro\snes\stable\renderingrangerr2_snes.json,6,7,0
genesis,RevengeOfShinobi,stable,rumble\openai_retro\genesis\stable\revengeofshinobi_genesis.json,2,3,0
genesis,RiseOfTheRobots,stable,rumble\openai_retro\genesis\stable\riseoftherobots_genesis.json,5,4,2
genesis,RiskyWoods,stable,rumble\openai_retro\genesis\stable\riskywoods_genesis.json,2,3,0
genesis,Ristar,stable,rumble\openai_retro\genesis\stable\ristar_genesis.json,2,3,0
snes,RivalTurf,stable,rumble\openai_retro\snes\stable\rivalturf_snes.json,3,5,0
snes,RoadRunnersDeathValleyRally,stable,rumble\openai_retro\snes\stable\roadrunnersdeathvalleyrally_snes.json,3,5,0
genesis,RoboCop3,stable,rumble\openai_retro\genesis\stable\robocop3_genesis.json,4,6,0
snes,RoboCop3,stable,rumble\openai_retro\snes\stable\robocop3_snes.json,3,5,0
snes,RoboCopVersusTheTerminator,stable,rumble\openai_retro\snes\stable\robocopversustheterminator_snes.json,3,5,0
genesis,RocketKnightAdventures,stable,rumble\openai_retro\genesis\stable\rocketknightadventures_genesis.json,3,5,0
genesis,RollingThunder2,stable,rumble\openai_retro\genesis\stable\rollingthunder2_genesis.json,2,3,0
snes,RTypeIII,stable,rumble\openai_retro\snes\stable\rtypeiii_snes.json,2,3,0
snes,RunSaber,stable,rumble\openai_retro\snes\stable\runsaber_snes.json,3,5,0
genesis,Sagaia,stable,rumble\openai_retro\genesis\stable\sagaia_genesis.json,2,3,0
genesis,SaintSword,stable,rumble\openai_retro\genesis\stable\saintsword_genesis.json,3,5,0
genesis,SameSameSame,stable,rumble\openai_retro\genesis\stable\samesamesame_genesis.json,2,3,0
genesis,SamuraiShodown,stable,rumble\openai_retro\genesis\stable\samuraishodown_genesis.json,4,4,1
genesis,SecondSamurai,stable,rumble\openai_retro\genesis\stable\secondsamurai_genesis.json,3,3,1
genesis,SenjouNoOokamiIIMercs,stable,rumble\openai_retro\genesis\stable\senjounoookamiiimercs_genesis.json,2,3,0
genesis,ShadowDancerTheSecretOfShinobi,stable,rumble\openai_retro\genesis\stable\shadowdancerthesecretofshinobi_genesis.json,2,3,0
genesis,ShadowOfTheBeast,stable,rumble\openai_retro\genesis\stable\shadowofthebeast_genesis.json,3,3,1
genesis,ShaqFu,stable,rumble\openai_retro\genesis\stable\shaqfu_genesis.json,5,4,2
genesis,ShinobiIIIReturnOfTheNinjaMaster,stable,rumble\openai_retro\genesis\stable\shinobiiiireturnoftheninjamaster_genesis.json,3,5,0
genesis,SimpsonsBartVsTheSpaceMutants,stable,rumble\openai_retro\genesis\stable\simpsonsbartvsthespacemutants_genesis.json,3,5,0
genesis,SkeletonKrew,stable,rumble\openai_retro\genesis\stable\skeletonkrew_genesis.json,2,3,0
snes,SkuljaggerRevoltOfTheWesticans,stable,rumble\openai_retro\snes\stable\skuljaggerrevoltofthewesticans_snes.json,3,4,0
snes,SmartBall,stable,rumble\openai_retro\snes\stable\smartball_snes.json,3,5,0
genesis,Smurfs,stable,rumble\openai_retro\genesis\stable\smurfs_genesis.json,2,3,0
snes,Smurfs,stable,rumble\openai_retro\snes\stable\smurfs_snes.json,4,5,1
genesis,Socket,stable,rumble\openai_retro\genesis\stable\socket_genesis.json,3,5,0
genesis,SolDeace,stable,rumble\openai_retro\genesis\stable\soldeace_genesis.json,2,3,0
genesis,SoldiersOfFortune,stable,rumble\openai_retro\genesis\stable\soldiersoffortune_genesis.json,2,3,0
genesis,SonicAndKnuckles,stable,rumble\openai_retro\genesis\stable\sonicandknuckles_genesis.json,5,4,2
genesis,SonicAndKnuckles3,stable,rumble\openai_retro\genesis\stable\sonicandknuckles3_genesis.json,12,7,6
snes,SonicBlastMan,stable,rumble\openai_retro\snes\stable\sonicblastman_snes.json,3,5,0
snes,SonicBlastManII,stable,rumble\openai_retro\snes\stable\sonicblastmanii_snes.json,3,5,0
genesis,SonicTheHedgehog,stable,rumble\openai_retro\genesis\stable\sonicthehedgehog_genesis.json,11,7,5
genesis,SonicTheHedgehog2,stable,rumble\openai_retro\genesis\stable\sonicthehedgehog2_genesis.json,12,7,6
genesis,SonicTheHedgehog3,stable,rumble\openai_retro\genesis\stable\sonicthehedgehog3_genesis.json,6,4,3
genesis,SonicTheHedgehogRandomLevels,stable,rumble\openai_retro\genesis\stable\sonicthehedgehograndomlevels_genesis.json,3,1,2
snes,SonicWings,stable,rumble\openai_retro\snes\stable\sonicwings_snes.json,2,3,0
genesis,SpaceHarrierII,stable,rumble\openai_retro\genesis\stable\spaceharrierii_genesis.json,2,3,0
snes,SpaceInvaders,stable,rumble\openai_retro\snes\stable\spaceinvaders_snes.json,2,3,0
genesis,SpaceInvaders91,stable,rumble\openai_retro\genesis\stable\spaceinvaders91_genesis.json,2,3,0
snes,SpaceMegaforce,stable,rumble\openai_retro\snes\stable\spacemegaforce_snes.json,2,3,0
snes,SpankysQuest,stable,rumble\openai_retro\snes\stable\spankysquest_snes.json,4,4,1
genesis,Sparkster,stable,rumble\openai_retro\genesis\stable\sparkster_genesis.json,3,5,0
snes,Sparkster,stable,rumble\openai_retro\snes\stable\sparkster_snes.json,2,3,0
snes,SpeedyGonzalesLosGatosBandidos,stable,rumble\openai_retro\snes\stable\speedygonzaleslosgatosbandidos_snes.json,3,5,0
genesis,Splatterhouse2,stable,rumble\openai_retro\genesis\stable\splatterhouse2_genesis.json,3,5,0
genesis,SpotGoesToHollywood,stable,rumble\openai_retro\genesis\stable\spotgoestohollywood_genesis.json,2,3,0
snes,SprigganPowered,stable,rumble\openai_retro\snes\stable\sprigganpowered_snes.json,2,3,0
genesis,SteelEmpire,stable,rumble\openai_retro\genesis\stable\steelempire_genesis.json,2,3,0
genesis,SteelTalons,stable,rumble\openai_retro\genesis\stable\steeltalons_genesis.json,2,3,0
snes,StoneProtectors,stable,rumble\openai_retro\snes\stable\stoneprotectors_snes.json,3,5,0
genesis,Stormlord,stable,rumble\openai_retro\genesis\stable\stormlord_genesis.json,4,3,2
genesis,StreetFighterIISpecialChampionEdition,stable,rumble\openai_retro\genesis\stable\streetfighteriispecialchampionedition_genesis.json,6,4,3
genesis,StreetSmart,stable,rumble\openai_retro\genesis\stable\streetsmart_genesis.json,2,3,0
genesis,StreetsOfRage,stable,rumble\openai_retro\genesis\stable\streetsofrage_genesis.json,2,3,0
genesis,StreetsOfRage2,stable,rumble\openai_retro\genesis\stable\streetsofrage2_genesis.json,2,3,0
genesis,StreetsOfRage3,stable,rumble\openai_retro\genesis\stable\streetsofrage3_genesis.json,2,3,0
genesis,Strider,stable,rumble\openai_retro\genesis\stable\strider_genesis.json,3,5,0
genesis,SubTerrania,stable,rumble\openai_retro\genesis\stable\subterrania_genesis.json,2,3,0
genesis,SunsetRiders,stable,rumble\openai_retro\genesis\stable\sunsetriders_genesis.json,2,3,0
snes,SuperAdventureIsland,stable,rumble\openai_retro\snes\stable\superadventureisland_snes.json,4,4,1
snes,SuperAlfredChicken,stable,rumble\openai_retro\snes\stable\superalfredchicken_snes.json,2,3,0
snes,SuperBCKid,stable,rumble\openai_retro\snes\stable\superbckid_snes.json,3,5,0
snes,SuperCastlevaniaIV,stable,rumble\openai_retro\snes\stable\supercastlevaniaiv_snes.json,4,5,1
snes,SuperDoubleDragon,stable,rumble\openai_retro\snes\stable\superdoubledragon_snes.json,3,3,1
genesis,SuperFantasyZone,stable,rumble\openai_retro\genesis\stable\superfantasyzone_genesis.json,2,3,0
snes,SuperGhoulsnGhosts,stable,rumble\openai_retro\snes\stable\superghoulsnghosts_snes.json,2,3,0
snes,SuperJamesPond,stable,rumble\openai_retro\snes\stable\superjamespond_snes.json,3,5,0
genesis,Superman,stable,rumble\openai_retro\genesis\stable\superman_genesis.json,2,3,0
snes,SuperMarioWorld,stable,rumble\openai_retro\snes\stable\supermarioworld_snes.json,3,4,0
snes,SuperMarioWorld2,stable,rumble\openai_retro\snes\stable\supermarioworld2_snes.json,3,5,0
snes,SuperRType,stable,rumble\openai_retro\snes\stable\superrtype_snes.json,2,3,0
genesis,SuperSmashTV,stable,rumble\openai_retro\genesis\stable\supersmashtv_genesis.json,2,3,0
snes,SuperSmashTV,stable,rumble\openai_retro\snes\stable\supersmashtv_snes.json,2,3,0
snes,SuperStarWars,stable,rumble\openai_retro\snes\stable\superstarwars_snes.json,10,12,0
snes,SuperStarWarsReturnOfTheJedi,stable,rumble\openai_retro\snes\stable\superstarwarsreturnofthejedi_snes.json,9,11,0
snes,SuperStarWarsTheEmpireStrikesBack,stable,rumble\openai_retro\snes\stable\superstarwarstheempirestrikesback_snes.json,9,11,0
snes,SuperStrikeGunner,stable,rumble\openai_retro\snes\stable\superstrikegunner_snes.json,2,2,1
snes,SuperSWIV,stable,rumble\openai_retro\snes\stable\superswiv_snes.json,3,4,0
genesis,SuperThunderBlade,stable,rumble\openai_retro\genesis\stable\superthunderblade_genesis.json,2,3,0
snes,SuperTrollIslands,stable,rumble\openai_retro\snes\stable\supertrollislands_snes.json,4,4,1
snes,SuperTurrican,stable,rumble\openai_retro\snes\stable\superturrican_snes.json,3,5,0
snes,SuperTurrican2,stable,rumble\openai_retro\snes\stable\superturrican2_snes.json,4,6,0
snes,SuperValisIV,stable,rumble\openai_retro\snes\stable\supervalisiv_snes.json,2,3,0
snes,SuperWidget,stable,rumble\openai_retro\snes\stable\superwidget_snes.json,2,3,0
genesis,SwordOfSodan,stable,rumble\openai_retro\genesis\stable\swordofsodan_genesis.json,4,5,1
genesis,SydOfValis,stable,rumble\openai_retro\genesis\stable\sydofvalis_genesis.json,3,5,0
genesis,SylvesterAndTweetyInCageyCapers,stable,rumble\openai_retro\genesis\stable\sylvesterandtweetyincageycapers_genesis.json,2,3,0
genesis,T2TheArcadeGame,stable,rumble\openai_retro\genesis\stable\t2thearcadegame_genesis.json,3,4,0
genesis,TargetEarth,stable,rumble\openai_retro\genesis\stable\targetearth_genesis.json,2,3,0
genesis,TaskForceHarrierEX,stable,rumble\openai_retro\genesis\stable\taskforceharrierex_genesis.json,2,3,0
genesis,TazMania,stable,rumble\openai_retro\genesis\stable\tazmania_genesis.json,3,5,0
snes,TazMania,stable,rumble\openai_retro\snes\stable\tazmania_snes.json,4,4,1
snes,TeenageMutantNinjaTurtlesIVTurtlesInTime,stable,rumble\openai_retro\snes\stable\teenagemutantninjaturtlesivturtlesintime_snes.json,2,3,0
genesis,TeenageMutantNinjaTurtlesTheHyperstoneHeist,stable,rumble\openai_retro\genesis\stable\teenagemutantninjaturtlesthehyperstoneheist_genesis.json,3,5,0
genesis,TeenageMutantNinjaTurtlesTournamentFighters,stable,rumble\openai_retro\genesis\stable\teenagemutantninjaturtlestournamentfighters_genesis.json,5,4,2
genesis,Terminator,stable,rumble\openai_retro\genesis\stable\terminator_genesis.json,2,3,0
snes,TetrisAttack,stable,rumble\openai_retro\snes\stable\tetrisattack_snes.json,3,3,1
genesis,ThunderForceII,stable,rumble\openai_retro\genesis\stable\thunderforceii_genesis.json,2,3,0
genesis,ThunderForceIII,stable,rumble\openai_retro\genesis\stable\thunderforceiii_genesis.json,2,3,0
genesis,ThunderForceIV,stable,rumble\openai_retro\genesis\stable\thunderforceiv_genesis.json,2,3,0
genesis,ThunderFox,stable,rumble\openai_retro\genesis\stable\thunderfox_genesis.json,3,5,0
snes,ThunderSpirits,stable,rumble\openai_retro\snes\stable\thunderspirits_snes.json,2,3,0
genesis,Tick,stable,rumble\openai_retro\genesis\stable\tick_genesis.json,3,5,0
snes,Tick,stable,rumble\openai_retro\snes\stable\tick_snes.json,6,8,0
genesis,TinHead,stable,rumble\openai_retro\genesis\stable\tinhead_genesis.json,4,6,0
